vehicle_id,make,model,year,odometer_km,title_status,engine_condition,health_score,is_synthetic,STFT_mean,LTFT_mean,warm_idle_rpm_mean,warm_idle_cv,load_mean,timing_mean,map_mean,catalyst_temp_mean,maf_idle_mean,coolant_max
civic_2017_rebuilt_116k,Honda,Civic,2017,116564,rebuilt,healthy,82.0,False,2.877743418733106,3.3936809473436766,782.384,9.285,38.53754521785212,2.589914087324938,50.60632420359704,577.2156375206223,3.4375,61.0
civic_2014_rebuilt_133k,Honda,Civic,2014,133500,rebuilt,healthy,78.0,False,2.999611271237864,0.9332426876630864,721.6992316136115,7.427819893265192,39.81147631675691,4.160576631259484,45.17247238742566,489.689576883385,2.02,90.0
corolla_2017_rebuilt_125k,Toyota,Corolla,2017,125993,rebuilt,worn,61.0,False,-4.272009998473515,-4.215816138306534,754.1046481433394,8.964902529503341,43.951177418308966,13.062547712351774,50.675,616.3634207177399,2.1,88.0
corolla_2019_clean_291k,Toyota,Corolla,2019,291408,clean,worn,48.0,False,-1.2033960764339076,-5.038039870955791,760.0909090909091,23.311312189558766,43.53737642967552,10.217748409806706,43.983,622.9448940507815,2.5,87.0
civic_2018_rebuilt_72k,Honda,Civic,2018,72000,rebuilt,healthy,88.0,False,2.367424242424242,0.08862068626680293,760.443,4.06,42.7381623927672,7.592990801163613,59.024605951023936,553.8835102618542,3.125,89.097
corolla_2014_clean_138k,Toyota,Corolla,2014,138000,clean,degraded,35.0,False,-0.9615347594406456,0.24041053166584525,677.9149771092217,52.80086307522309,44.38450407882754,13.142707498921684,57.123,612.7982557781202,2.04,90.0
corolla_2017_se_clean_90k,Toyota,Corolla,2017,90300,clean,worn,55.0,False,-3.0193885716078825,-2.217832093767652,739.5574210879785,22.638195259493916,46.60081502480511,12.935530445699937,41.608,606.8310996671481,2.04,89.0
corolla_2016_rebuilt_87k,Toyota,Corolla,2016,87000,rebuilt,worn,52.0,False,-1.5584443532153829,-4.775487365577157,724.0584918957012,25.991409633504748,45.29634014622798,11.979945957401716,58.125,589.7244500980547,2.01,87.0
civic_2017_clean_188k,Honda,Civic,2017,188000,clean,worn,58.0,False,5.381743979168631,-0.43158935052080877,808.912,16.614,31.13535871014601,3.282266427830678,42.017450755402564,487.7713767090995,4.252,87.804
civic_2015_clean_212k,Honda,Civic,2015,212000,clean,healthy,70.0,False,2.2384763206768468,0.3056317500171975,739.016,7.536,35.02023630829318,0.4823849170852543,44.970349477160156,483.00265657260843,4.166,90.986
synthetic_011,Honda,Civic,2014,57296,rebuilt,worn,33.1,True,4.176,3.116,787.766,14.906,30.979,4.362,46.079,452.189,4.378,90.044
synthetic_012,Honda,Civic,2018,138540,rebuilt,worn,45.2,True,5.513,2.218,666.77,10.738,34.573,1.989,48.387,564.243,5.332,89.698
synthetic_013,Honda,Civic,2018,141739,rebuilt,healthy,71.2,True,2.886,0.94,654.061,6.96,35.482,17.853,46.461,522.062,3.786,86.494
synthetic_014,Honda,Civic,2017,64446,rebuilt,healthy,86.8,True,4.214,1.602,789.552,5.636,46.222,2.393,52.695,597.618,3.404,88.301
synthetic_015,Honda,Civic,2020,90425,rebuilt,worn,72.5,True,5.749,1.896,655.947,12.206,27.377,8.368,40.806,632.996,3.73,87.712
synthetic_016,Honda,Civic,2015,150189,rebuilt,worn,50.1,True,7.534,1.023,798.197,15.921,21.925,6.923,52.599,586.909,3.458,83.718
synthetic_017,Honda,Civic,2016,89565,rebuilt,worn,73.2,True,6.805,2.856,800.039,13.039,31.2,7.161,52.931,497.139,5.319,90.895
synthetic_018,Honda,Civic,2014,114807,rebuilt,healthy,75.7,True,0.713,1.525,701.266,8.181,44.269,4.717,55.707,526.511,4.129,95.69
synthetic_019,Honda,Civic,2018,163700,rebuilt,healthy,42.1,True,2.132,0.397,705.524,5.776,34.383,9.365,50.214,543.087,3.805,94.361
synthetic_020,Honda,Civic,2014,68965,rebuilt,healthy,92.1,True,2.103,3.176,781.283,5.714,26.433,9.93,46.212,538.56,3.989,89.782
synthetic_021,Honda,Civic,2016,84911,clean,healthy,75.9,True,1.23,-0.212,727.674,8.285,36.713,3.017,49.385,525.413,3.446,90.461
synthetic_022,Honda,Civic,2016,110659,clean,healthy,71.8,True,2.587,0.086,767.889,7.841,43.664,12.215,36.979,472.487,4.006,91.541
synthetic_023,Honda,Civic,2019,205994,clean,worn,58.3,True,6.788,7.123,825.671,15.407,47.54,9.257,46.847,585.538,3.736,88.053
synthetic_024,Honda,Civic,2018,71215,clean,healthy,89.6,True,1.772,1.065,865.733,4.199,40.49,1.549,44.225,553.558,3.826,86.767
synthetic_025,Honda,Civic,2017,110708,clean,healthy,79.7,True,1.427,1.544,713.482,7.325,35.365,5.394,65.152,535.357,2.99,90.559
synthetic_026,Honda,Civic,2019,201943,clean,worn,60.5,True,3.846,3.523,716.598,11.656,43.05,10.329,37.997,519.93,3.915,86.387
synthetic_027,Honda,Civic,2015,63665,clean,healthy,91.4,True,5.148,1.324,686.956,8.377,51.977,12.13,35.845,490.631,4.307,87.877
synthetic_028,Honda,Civic,2016,152759,clean,worn,42.0,True,6.61,3.43,705.846,11.821,10.0,0.878,47.474,465.133,5.179,83.279
synthetic_029,Honda,Civic,2018,219843,clean,degraded,49.4,True,6.68,5.261,992.953,14.821,55.958,3.061,41.222,516.968,5.199,83.399
synthetic_030,Honda,Civic,2017,92717,clean,worn,71.1,True,5.675,2.038,789.081,13.986,53.86,-0.189,71.33,422.875,4.109,91.353
synthetic_031,Toyota,Corolla,2016,59363,rebuilt,healthy,77.8,True,-1.438,-4.434,739.594,8.014,30.285,11.398,50.856,575.355,4.45,90.922
synthetic_032,Toyota,Corolla,2016,125322,rebuilt,worn,65.7,True,-1.468,-3.741,713.68,17.759,45.473,9.052,49.791,632.626,5.394,86.634
synthetic_033,Toyota,Corolla,2015,163723,rebuilt,degraded,44.1,True,-4.085,-8.005,793.878,43.79,51.905,7.881,68.666,596.89,6.318,85.138
synthetic_034,Toyota,Corolla,2014,53087,rebuilt,worn,47.9,True,-2.69,-5.26,787.76,22.381,29.818,16.462,39.94,546.078,5.311,92.167
synthetic_035,Toyota,Corolla,2017,115216,rebuilt,worn,58.3,True,-1.94,-3.743,779.02,16.411,38.758,2.614,59.751,615.441,3.922,87.714
synthetic_036,Toyota,Corolla,2019,147507,rebuilt,worn,73.8,True,-2.468,-6.127,714.222,20.975,40.45,3.465,45.29,640.083,3.486,83.37
synthetic_037,Toyota,Corolla,2014,72293,rebuilt,worn,51.7,True,-5.296,-5.427,804.873,25.901,46.577,5.2,49.81,559.836,4.487,87.845
synthetic_038,Toyota,Corolla,2016,137164,rebuilt,worn,74.0,True,-2.693,-6.654,821.548,26.131,36.912,8.009,56.901,598.921,4.657,89.05
synthetic_039,Toyota,Corolla,2019,146973,rebuilt,healthy,71.0,True,-1.805,-4.66,751.226,9.996,46.609,11.837,65.225,571.633,4.436,90.55
synthetic_040,Toyota,Corolla,2016,60016,rebuilt,healthy,90.3,True,2.38,-4.712,708.014,7.801,18.009,5.897,41.927,617.52,4.171,95.629
synthetic_041,Toyota,Corolla,2014,94757,clean,healthy,67.2,True,-0.099,-4.365,705.079,9.984,24.438,15.326,57.436,586.541,3.143,94.062
synthetic_042,Toyota,Corolla,2016,117331,clean,worn,75.8,True,-3.786,-2.524,652.446,17.602,38.052,6.235,45.499,665.485,3.753,88.43
synthetic_043,Toyota,Corolla,2015,210306,clean,healthy,66.3,True,-1.759,-2.728,785.581,6.751,22.727,13.111,50.659,572.576,4.776,90.347
